,FECHA,MUNICIPIO RESIDENCIA,CASOS
418,2020-04-09,Miguel Hidalgo,6
419,2020-04-09,Milpa Alta,5
420,2020-04-09,Tlalpan,12
421,2020-04-09,Tláhuac,8
422,2020-04-09,Venustiano Carranza,7
423,2020-04-09,Xochimilco,6
424,2020-04-09,Álvaro Obregón,16
425,2020-04-10,Azcapotzalco,32
426,2020-04-10,Benito Juárez,12
427,2020-04-10,Coyoacán,26
428,2020-04-10,Cuajimalpa de Morelos,37
429,2020-04-10,Cuauhtémoc,13
430,2020-04-10,Gustavo A. Madero,33
431,2020-04-10,Iztacalco,33
432,2020-04-10,Iztapalapa,24
433,2020-04-10,La Magdalena Contreras,15
434,2020-04-10,Miguel Hidalgo,6
435,2020-04-10,Milpa Alta,13
436,2020-04-10,Tlalpan,17
437,2020-04-10,Tláhuac,5
438,2020-04-10,Venustiano Carranza,7
439,2020-04-10,Xochimilco,12
440,2020-04-10,Álvaro Obregón,17
441,2020-04-11,Azcapotzalco,30
442,2020-04-11,Benito Juárez,11
443,2020-04-11,Coyoacán,25
444,2020-04-11,Cuajimalpa de Morelos,28
445,2020-04-11,Cuauhtémoc,10
446,2020-04-11,Gustavo A. Madero,25
447,2020-04-11,Iztacalco,26
448,2020-04-11,Iztapalapa,16
449,2020-04-11,La Magdalena Contreras,7
450,2020-04-11,Miguel Hidalgo,5
451,2020-04-11,Milpa Alta,2
452,2020-04-11,Tlalpan,16
453,2020-04-11,Tláhuac,2
454,2020-04-11,Venustiano Carranza,6
455,2020-04-11,Xochimilco,16
456,2020-04-11,Álvaro Obregón,7
457,2020-04-12,Azcapotzalco,31
458,2020-04-12,Benito Juárez,11
459,2020-04-12,Coyoacán,11
460,2020-04-12,Cuajimalpa de Morelos,44
461,2020-04-12,Cuauhtémoc,8
462,2020-04-12,Gustavo A. Madero,39
463,2020-04-12,Iztacalco,31
464,2020-04-12,Iztapalapa,17
465,2020-04-12,La Magdalena Contreras,8
466,2020-04-12,Miguel Hidalgo,9
467,2020-04-12,Milpa Alta,5
468,2020-04-12,Tlalpan,15
469,2020-04-12,Tláhuac,5
470,2020-04-12,Venustiano Carranza,6
471,2020-04-12,Xochimilco,10
472,2020-04-12,Álvaro Obregón,8
473,2020-04-13,Azcapotzalco,43
474,2020-04-13,Benito Juárez,22
475,2020-04-13,Coyoacán,28
476,2020-04-13,Cuajimalpa de Morelos,71
477,2020-04-13,Cuauhtémoc,22
478,2020-04-13,Gustavo A. Madero,62
479,2020-04-13,Iztacalco,70
480,2020-04-13,Iztapalapa,54
481,2020-04-13,La Magdalena Contreras,20
482,2020-04-13,Miguel Hidalgo,14
483,2020-04-13,Milpa Alta,5
484,2020-04-13,Tlalpan,34
485,2020-04-13,Tláhuac,13
486,2020-04-13,Venustiano Carranza,11
487,2020-04-13,Xochimilco,19
488,2020-04-13,Álvaro Obregón,16
489,2020-04-14,Azcapotzalco,62
490,2020-04-14,Benito Juárez,22
491,2020-04-14,Coyoacán,23
492,2020-04-14,Cuajimalpa de Morelos,82
493,2020-04-14,Cuauhtémoc,16
494,2020-04-14,Gustavo A. Madero,48
495,2020-04-14,Iztacalco,51
496,2020-04-14,Iztapalapa,51
497,2020-04-14,La Magdalena Contreras,31
498,2020-04-14,Miguel Hidalgo,14
499,2020-04-14,Milpa Alta,10
500,2020-04-14,Tlalpan,23
501,2020-04-14,Tláhuac,11
502,2020-04-14,Venustiano Carranza,22
503,2020-04-14,Xochimilco,24
504,2020-04-14,Álvaro Obregón,29
505,2020-04-15,Azcapotzalco,58
506,2020-04-15,Benito Juárez,16
507,2020-04-15,Coyoacán,30
508,2020-04-15,Cuajimalpa de Morelos,84
509,2020-04-15,Cuauhtémoc,20
510,2020-04-15,Gustavo A. Madero,56
511,2020-04-15,Iztacalco,57
512,2020-04-15,Iztapalapa,44
513,2020-04-15,La Magdalena Contreras,14
514,2020-04-15,Miguel Hidalgo,8
515,2020-04-15,Milpa Alta,8
516,2020-04-15,Tlalpan,22
517,2020-04-15,Tláhuac,10
518,2020-04-15,Venustiano Carranza,15
519,2020-04-15,Xochimilco,24
520,2020-04-15,Álvaro Obregón,23
521,2020-04-16,Azcapotzalco,53
522,2020-04-16,Benito Juárez,16
523,2020-04-16,Coyoacán,34
524,2020-04-16,Cuajimalpa de Morelos,89
525,2020-04-16,Cuauhtémoc,20
526,2020-04-16,Gustavo A. Madero,47
527,2020-04-16,Iztacalco,57
528,2020-04-16,Iztapalapa,62
529,2020-04-16,La Magdalena Contreras,12
530,2020-04-16,Miguel Hidalgo,9
531,2020-04-16,Milpa Alta,5
532,2020-04-16,Tlalpan,34
533,2020-04-16,Tláhuac,11
534,2020-04-16,Venustiano Carranza,10
535,2020-04-16,Xochimilco,19
536,2020-04-16,Álvaro Obregón,29
537,2020-04-17,Azcapotzalco,66
538,2020-04-17,Benito Juárez,21
539,2020-04-17,Coyoacán,32
540,2020-04-17,Cuajimalpa de Morelos,75
541,2020-04-17,Cuauhtémoc,23
542,2020-04-17,Gustavo A. Madero,75
543,2020-04-17,Iztacalco,50
544,2020-04-17,Iztapalapa,69
545,2020-04-17,La Magdalena Contreras,28
546,2020-04-17,Miguel Hidalgo,15
547,2020-04-17,Milpa Alta,24
548,2020-04-17,Tlalpan,51
549,2020-04-17,Tláhuac,15
550,2020-04-17,Venustiano Carranza,23
551,2020-04-17,Xochimilco,27
552,2020-04-17,Álvaro Obregón,30
553,2020-04-18,Azcapotzalco,28
554,2020-04-18,Benito Juárez,17
555,2020-04-18,Coyoacán,27
556,2020-04-18,Cuajimalpa de Morelos,64
557,2020-04-18,Cuauhtémoc,12
558,2020-04-18,Gustavo A. Madero,53
559,2020-04-18,Iztacalco,43
560,2020-04-18,Iztapalapa,47
561,2020-04-18,La Magdalena Contreras,16
562,2020-04-18,Miguel Hidalgo,6
563,2020-04-18,Milpa Alta,12
564,2020-04-18,Tlalpan,30
565,2020-04-18,Tláhuac,13
566,2020-04-18,Venustiano Carranza,16
567,2020-04-18,Xochimilco,27
568,2020-04-18,Álvaro Obregón,13
569,2020-04-19,Azcapotzalco,27
570,2020-04-19,Benito Juárez,16
571,2020-04-19,Coyoacán,24
572,2020-04-19,Cuajimalpa de Morelos,57
573,2020-04-19,Cuauhtémoc,6
574,2020-04-19,Gustavo A. Madero,46
575,2020-04-19,Iztacalco,39
576,2020-04-19,Iztapalapa,65
577,2020-04-19,La Magdalena Contreras,18
578,2020-04-19,Miguel Hidalgo,10
579,2020-04-19,Milpa Alta,7
580,2020-04-19,Tlalpan,23
581,2020-04-19,Tláhuac,11
582,2020-04-19,Venustiano Carranza,11
583,2020-04-19,Xochimilco,16
584,2020-04-19,Álvaro Obregón,14
585,2020-04-20,Azcapotzalco,58
586,2020-04-20,Benito Juárez,27
587,2020-04-20,Coyoacán,42
588,2020-04-20,Cuajimalpa de Morelos,114
589,2020-04-20,Cuauhtémoc,30
590,2020-04-20,Gustavo A. Madero,94
591,2020-04-20,Iztacalco,82
592,2020-04-20,Iztapalapa,111
593,2020-04-20,La Magdalena Contreras,18
594,2020-04-20,Miguel Hidalgo,22
595,2020-04-20,Milpa Alta,25
596,2020-04-20,Tlalpan,53
597,2020-04-20,Tláhuac,24
598,2020-04-20,Venustiano Carranza,28
599,2020-04-20,Xochimilco,55
600,2020-04-20,Álvaro Obregón,25
601,2020-04-21,Azcapotzalco,74
602,2020-04-21,Benito Juárez,18
603,2020-04-21,Coyoacán,40
604,2020-04-21,Cuajimalpa de Morelos,106
605,2020-04-21,Cuauhtémoc,29
606,2020-04-21,Gustavo A. Madero,113
607,2020-04-21,Iztacalco,53
608,2020-04-21,Iztapalapa,98
609,2020-04-21,La Magdalena Contreras,22
610,2020-04-21,Miguel Hidalgo,26
611,2020-04-21,Milpa Alta,17
612,2020-04-21,Tlalpan,60
613,2020-04-21,Tláhuac,24
614,2020-04-21,Venustiano Carranza,28
615,2020-04-21,Xochimilco,42
616,2020-04-21,Álvaro Obregón,33
617,2020-04-22,Azcapotzalco,53
618,2020-04-22,Benito Juárez,25
619,2020-04-22,Coyoacán,30
620,2020-04-22,Cuajimalpa de Morelos,112
621,2020-04-22,Cuauhtémoc,26
622,2020-04-22,Gustavo A. Madero,83
623,2020-04-22,Iztacalco,52
624,2020-04-22,Iztapalapa,111
625,2020-04-22,La Magdalena Contreras,25
626,2020-04-22,Miguel Hidalgo,13
627,2020-04-22,Milpa Alta,27
628,2020-04-22,Tlalpan,42
629,2020-04-22,Tláhuac,33
630,2020-04-22,Venustiano Carranza,44
631,2020-04-22,Xochimilco,40
632,2020-04-22,Álvaro Obregón,23
633,2020-04-23,Azcapotzalco,75
634,2020-04-23,Benito Juárez,25
635,2020-04-23,Coyoacán,52
636,2020-04-23,Cuajimalpa de Morelos,96
637,2020-04-23,Cuauhtémoc,26
638,2020-04-23,Gustavo A. Madero,103
639,2020-04-23,Iztacalco,60
640,2020-04-23,Iztapalapa,88
