date,name,value
1964-01-01,Tlalpan,61
1964-01-01,Tlahuac,29
1964-01-01,Venustiano Carranza,38
1964-01-01,Xochimilco,34
1964-01-01,Alvaro Obregon,38
1965-01-01,Azcapotzalco,76
1965-01-01,Benito Juarez,36
1965-01-01,Coyoacan,70
1965-01-01,Cuajimalpa de Morelos,114
1965-01-01,Cuauhtemoc,25
1965-01-01,Gustavo A. Madero,104
1965-01-01,Iztacalco,86
1965-01-01,Iztapalapa,144
1965-01-01,La Magdalena Contreras,27
1965-01-01,Miguel Hidalgo,22
1965-01-01,Milpa Alta,19
1965-01-01,Tlalpan,49
1965-01-01,Tlahuac,28
1965-01-01,Venustiano Carranza,48
1965-01-01,Xochimilco,48
1965-01-01,Alvaro Obregon,36
1966-01-01,Azcapotzalco,68
1966-01-01,Benito Juarez,17
1966-01-01,Coyoacan,28
1966-01-01,Cuajimalpa de Morelos,92
1966-01-01,Cuauhtemoc,24
1966-01-01,Gustavo A. Madero,85
1966-01-01,Iztacalco,78
1966-01-01,Iztapalapa,97
